elapsed_s,position_rad,velocity_rad_s,tau_cmd_nm,tau_fb_nm,force_est_n
0.880377,2.035694,-1.086691,-1.250000,-0.383883,31.990232
0.882877,2.033010,-1.086691,-1.250000,-0.383883,31.990232
0.885385,2.030423,-1.057387,-1.250000,-0.389744,32.478632
0.887955,2.027740,-1.072039,-1.250000,-0.395604,32.967033
0.890461,2.024865,-1.101343,-1.250000,-0.389744,32.478632
0.893096,2.022086,-1.096459,-1.250000,-0.383883,31.990232
0.895762,2.019116,-1.111111,-1.250000,-0.378022,31.501832
0.898296,2.016049,-1.140415,-1.250000,-0.366300,30.525031
0.900811,2.013174,-1.145299,-1.250000,-0.366300,30.525031
0.903347,2.010300,-1.145299,-1.250000,-0.354579,29.548230
0.905853,2.007425,-1.150183,-1.250000,-0.354579,29.548230
0.908247,2.004837,-1.101343,-1.250000,-0.372161,31.013431
0.910675,2.002154,-1.081807,-1.250000,-0.372161,31.013431
0.913173,1.999471,-1.091575,-1.250000,-0.378022,31.501832
0.915539,1.996788,-1.086691,-1.250000,-0.378022,31.501832
0.918044,1.994296,-1.086691,-1.250000,-0.378022,31.501832
0.920572,1.991422,-1.101343,-1.250000,-0.372161,31.013431
0.923069,1.988643,-1.111111,-1.250000,-0.372161,31.013431
0.925588,1.985864,-1.096459,-1.250000,-0.372161,31.013431
0.928192,1.982989,-1.140415,-1.250000,-0.366300,30.525031
0.930793,1.980114,-1.135531,-1.250000,-0.366300,30.525031
0.933266,1.977144,-1.106227,-1.250000,-0.366300,30.525031
0.935761,1.974365,-1.115995,-1.250000,-0.366300,30.525031
0.938275,1.971586,-1.111111,-1.250000,-0.354579,29.548230
0.940798,1.968711,-1.135531,-1.250000,-0.354579,29.548230
0.943314,1.965836,-1.150183,-1.250000,-0.354579,29.548230
0.946043,1.962961,-1.145299,-1.250000,-0.354579,29.548230
0.948552,1.959991,-1.115995,-1.250000,-0.360440,30.036630
0.951076,1.957116,-1.130647,-1.250000,-0.354579,29.548230
0.953716,1.954337,-1.140415,-1.250000,-0.366300,30.525031
0.956122,1.951558,-1.067155,-1.250000,-0.372161,31.013431
0.958649,1.948875,-1.062271,-1.250000,-0.366300,30.525031
0.961143,1.948875,-1.062271,-1.250000,-0.366300,30.525031
0.963682,1.943413,-1.101343,-1.250000,-0.372161,31.013431
0.966106,1.940538,-1.125763,-1.250000,-0.366300,30.525031
0.968700,1.937759,-1.145299,-1.250000,-0.366300,30.525031
0.971148,1.934788,-1.130647,-1.250000,-0.360440,30.036630
0.973714,1.931913,-1.150183,-1.250000,-0.348718,29.059829
0.976257,1.928943,-1.179487,-1.250000,-0.348718,29.059829
0.978820,1.926068,-1.125763,-1.250000,-0.342857,28.571429
0.981494,1.923193,-1.120879,-1.250000,-0.342857,28.571429
0.984065,1.920222,-1.130647,-1.250000,-0.348718,29.059829
0.986570,1.917252,-1.125763,-1.250000,-0.354579,29.548230
0.989070,1.914473,-1.125763,-1.250000,-0.360440,30.036630
0.991585,1.911694,-1.145299,-1.250000,-0.354579,29.548230
0.994132,1.908915,-1.115995,-1.250000,-0.360440,30.036630
0.996636,1.906040,-1.101343,-1.250000,-0.366300,30.525031
0.999277,1.903261,-1.111111,-1.250000,-0.360440,30.036630
1.001717,1.900482,-1.106227,-1.250000,-0.366300,30.525031
